Gene	sgRNA	Control|beta	Control|z	Control|p-value	Control|fdr	Control|wald-p-value	Control|wald-fdr
SLC25A42	4	-0.14717	-1.0399	0.74754	0.94919	0.2984	0.56338
GRAMD2	4	-0.22404	-0.90749	0.57313	0.90404	0.36415	0.61298
PPARA	4	0.2644	1.5271	0.085065	0.45859	0.12673	0.5
TEX14	4	0.38226	1.514	0.016009	0.18613	0.13004	0.5
CACNG5	4	0.0027147	0.017566	0.77652	0.95535	0.98598	0.99319
TRAF3	4	-0.36554	-1.5124	0.34145	0.78099	0.13042	0.5
POMZP3	4	-0.31179	-1.0667	0.41702	0.82787	0.28613	0.55392
STAT1	4	0.14124	1.4713	0.31679	0.76516	0.1412	0.5
PPP4R2	4	-0.060964	-0.36363	0.9994	0.99975	0.71613	0.83223
U2AF2	4	-1.5141	-2.5092	0.0023367	0.058971	0.012102	0.20247
CTU1	4	-1.1727	-2.6149	0.009297	0.13031	0.0089262	0.16768
EOMES	4	-0.0469	-0.60367	0.95366	0.99086	0.54606	0.73651
DIDO1	4	-0.40354	-1.6697	0.29412	0.7482	0.094979	0.5
CLEC18A	4	-0.78661	-2.2648	0.057472	0.38479	0.023523	0.29553
PPP1R1C	4	-0.14425	-1.8476	0.75604	0.95038	0.064657	0.47027
GSTA4	4	0.20875	1.5131	0.1665	0.61348	0.13025	0.5
STRN3	4	0.023955	0.25085	0.7024	0.9422	0.80193	0.88647
TMEM218	4	0.12558	1.3245	0.35905	0.79216	0.18535	0.50162
OR1S2	4	0.10887	0.67044	0.4115	0.826	0.50258	0.71968
MCM2	4	-1.4362	-2.6199	0.002983	0.066519	0.0087953	0.1657
PSMD10	4	-0.079334	-0.82403	0.94029	0.98649	0.40992	0.64868
ACHE	4	-0.095098	-1.5323	0.89236	0.97849	0.12545	0.5
USP50	4	-0.024754	-0.22016	0.87571	0.97498	0.82575	0.90117
CCDC185	4	0.18	1.3804	0.22372	0.67904	0.16747	0.5
NHSL2	4	-0.088398	-1.2956	0.91205	0.98112	0.19512	0.5031
MAGED4B	4	-0.14088	-1.3196	0.7634	0.95303	0.18696	0.50162
ZNF77	4	0.14286	1.2395	0.31257	0.76243	0.21518	0.51062
SLC9C1	4	0.00677	0.12565	0.7626	0.95261	0.90001	0.9449
MFSD2A	4	0.16241	0.90265	0.26235	0.721	0.36671	0.61463
ARHGAP32	4	0.087816	0.88219	0.47902	0.86095	0.37767	0.62334
BAX	4	-0.010126	-0.057078	0.8246	0.96535	0.95448	0.97533
NCMAP	4	-0.17682	-1.2361	0.67639	0.93674	0.21641	0.51109
SLC25A13	4	-0.19032	-0.75163	0.64577	0.9289	0.45227	0.68388
STAG3	4	0.15088	0.89831	0.29209	0.74632	0.36902	0.61628
CFAP53	4	0.02532	0.28453	0.69857	0.94169	0.77601	0.8722
CALCB	4	-0.0020088	-0.013353	0.79402	0.95856	0.98935	0.9949
TNPO3	4	-1.692	-3.3782	0.00099433	0.035211	0.00072973	0.037348
PYDC2	4	-0.065789	-0.73552	0.98414	0.99803	0.46202	0.69089
GPR89A	4	-0.41025	-1.9164	0.28667	0.74193	0.05531	0.44119
MIR1-1HG	4	-0.016941	-0.27345	0.84961	0.97027	0.78451	0.87726
TOP1	4	-0.76318	-1.6602	0.062991	0.39931	0.096865	0.5
PITPNC1	4	0.29517	1.4832	0.05787	0.38479	0.13803	0.5
MTRNR2L4	4	-0.062858	-0.72394	0.99374	0.9988	0.4691	0.69588
EGFR	4	-0.52836	-2.2086	0.17227	0.61864	0.0272	0.31897
RNF166	4	-0.25444	-1.8851	0.51367	0.87681	0.059411	0.45376
CYP26A1	4	-0.036963	-0.52516	0.91802	0.98239	0.59948	0.75396
DTHD1	4	0.076787	0.75669	0.51566	0.87806	0.44924	0.6816
GNG4	4	0.042884	0.81715	0.63359	0.92634	0.41384	0.65209
CDC25B	4	-0.2471	-1.7353	0.5265	0.88052	0.082686	0.5
SMG9	4	0.10759	1.3999	0.41474	0.82622	0.16154	0.5
CD177	4	-0.19358	-1.1004	0.63811	0.92742	0.27118	0.54414
SNTA1	4	0.053511	0.39819	0.59466	0.91077	0.69049	0.81553
QRFP	4	-0.036211	-0.45603	0.91553	0.98198	0.64837	0.78565
GATC	4	-1.0708	-2.2044	0.016506	0.19037	0.027493	0.32165
UBL5	4	-1.7205	-3.8505	0.00064632	0.024668	0.00011787	0.012158
PDZD4	4	0.21974	1.2793	0.14751	0.58578	0.20078	0.50427
IL1RN	4	0.22506	1.3793	0.13886	0.57375	0.16779	0.5
CNGA4	4	0.2962	1.4599	0.056926	0.38307	0.1443	0.5
NXPH1	4	0.192	1.5766	0.19817	0.65088	0.11489	0.5
LUZP6	4	0.24244	1.4941	0.11325	0.52805	0.13514	0.5
LTB	4	-0.019113	-0.20804	0.85721	0.97162	0.83519	0.90679
ZNF14	4	-0.046122	-0.20106	0.95103	0.99027	0.84065	0.91002
SYNDIG1	4	0.10409	0.76452	0.42508	0.83018	0.44456	0.67788
ADD1	4	0.22226	1.4758	0.14298	0.57896	0.14	0.5
TMED9	4	0.47845	1.2225	0.0048225	0.088688	0.22151	0.51342
COG7	4	-0.69895	-1.8415	0.08427	0.45601	0.065541	0.47319
CAPZB	4	-3.0239	-5.0335	9.9433e-05	0.0097087	4.8163e-07	0.00050277
TM4SF19	4	0.20136	1.4863	0.17898	0.62674	0.13719	0.5
FLNB	4	0.18016	1.5146	0.22313	0.67774	0.12988	0.5
CSRP2	4	0.062655	1.3907	0.56309	0.89896	0.16433	0.5
SOX18	4	-0.12986	-1.0964	0.79358	0.95856	0.2729	0.54525
AKAP10	4	-0.73426	-1.4045	0.072686	0.42849	0.16018	0.5
AGFG1	4	0.26333	1.5376	0.086755	0.46286	0.12416	0.5
PPAN-P2RY11	4	-1.0438	-2.1654	0.018395	0.20296	0.030359	0.33734
ZNF562	4	0.086765	1.1653	0.4828	0.86293	0.2439	0.52698
SWT1	4	0.015357	0.16038	0.73312	0.94729	0.87258	0.92914
MAOB	4	0.24872	1.5481	0.1049	0.50916	0.1216	0.5
DSTYK	4	0.031407	0.375	0.67664	0.93674	0.70766	0.82668
SWSAP1	4	-0.049562	-1.0512	0.96187	0.99277	0.29315	0.55959
PTPN4	4	0.015203	0.15154	0.73352	0.94729	0.87955	0.93298
PDE3A	4	0.027273	0.18263	0.69141	0.93979	0.85509	0.91861
ZWILCH	4	-0.33662	-1.7541	0.38118	0.80536	0.07941	0.5
B9D1	4	-0.10657	-1.0209	0.85796	0.97176	0.30731	0.56938
JOSD2	4	-0.4027	-2.0223	0.29467	0.74893	0.043141	0.39758
RGMB	4	0.35388	1.3408	0.023765	0.23397	0.17997	0.50061
IGHMBP2	4	0.020059	0.24721	0.71681	0.94433	0.80474	0.88832
TMEM184C	4	0.28078	1.5558	0.068559	0.41624	0.11976	0.5
ACTL8	4	-0.051439	-0.5212	0.96898	0.99394	0.60223	0.75535
CDKL4	4	0.022686	0.27559	0.70707	0.94248	0.78287	0.87639
SFXN5	4	0.32674	1.4427	0.035697	0.28997	0.14909	0.5
LEMD3	4	-0.10332	-0.54223	0.86706	0.97385	0.58766	0.74915
ALOX5AP	4	0.021976	0.72351	0.7097	0.94339	0.46937	0.69609
SOD1	4	-2.162	-4.2871	0.00014915	0.0097087	1.8099e-05	0.0048539
C7orf69	4	-0.0097072	-0.17125	0.82281	0.96468	0.86403	0.92437
BLMH	4	-0.061883	-0.42466	0.99672	0.99905	0.67109	0.80194
PPM1B	4	0.14863	1.267	0.2975	0.74909	0.20515	0.50635
PABPN1	4	-0.62182	-1.885	0.11654	0.5343	0.059423	0.45376
UBE4B	4	-0.34224	-1.6437	0.37307	0.80085	0.10024	0.5
OR5W2	4	0.19046	1.5162	0.20185	0.65512	0.12946	0.5
DCAF6	4	-0.17458	-1.2173	0.68132	0.93741	0.22349	0.51422
CABLES1	4	-0.18181	-1.1261	0.66406	0.93451	0.26011	0.53646
ZNF341	4	-0.082807	-0.77081	0.92955	0.98478	0.44082	0.67493
FAM167A	4	0.13742	0.84695	0.32579	0.77049	0.39702	0.63911
LECT1	4	-0.38159	-1.063	0.32062	0.76783	0.28777	0.55473
TNFRSF4	4	0.19184	1.2018	0.19862	0.65161	0.22944	0.51751
YTHDF3	4	0.12846	0.94884	0.3512	0.78919	0.3427	0.59639
FAM186B	4	-0.13514	-1.2447	0.77931	0.95629	0.21323	0.50947
DCAF7	4	0.26557	1.6132	0.083872	0.45533	0.1067	0.5
PGBD3	4	-0.33969	-1.6831	0.3766	0.8026	0.092346	0.5
OTULIN	4	-0.49059	-1.5721	0.20309	0.65686	0.11593	0.5
HOXC4	4	0.28506	1.3283	0.06493	0.40534	0.18407	0.50162
CRYGB	4	-0.031049	-0.38261	0.89729	0.97869	0.70201	0.82363
UBE2J2	4	-0.27833	-1.9075	0.47176	0.85672	0.056461	0.44658
ZNF549	4	0.074672	0.34721	0.52312	0.87918	0.72843	0.84022
C20orf144	4	0.092652	1.2725	0.46212	0.85065	0.20319	0.50508
DPEP2	4	-0.2048	-1.8281	0.61345	0.91829	0.067537	0.47904
MFSD10	4	-0.095416	-0.58711	0.89167	0.97849	0.55713	0.73895
MISP	4	-0.014762	-0.19221	0.8422	0.97007	0.84757	0.91383
PIEZO2	4	-0.14546	-1.5226	0.75341	0.95033	0.12785	0.5
PES1	4	-1.352	-3.0838	0.0041762	0.080614	0.0020437	0.071119
C19orf12	4	-0.41801	-1.8511	0.27787	0.73586	0.06416	0.46837
FGG	4	0.23179	1.5251	0.12872	0.55713	0.12724	0.5
SPANXN5	4	0.14979	1.4859	0.29512	0.74893	0.1373	0.5
AKAP8	4	0.061454	0.57949	0.56702	0.90126	0.56226	0.74062
TMEM45B	4	0.18238	1.4466	0.21836	0.6729	0.148	0.5
CT47A1	4	-0.095702	-0.6987	0.89013	0.97836	0.48474	0.70761
FUOM	4	0.1713	1.6442	0.24142	0.69764	0.10014	0.5
PI15	4	0.26704	1.1613	0.082132	0.45161	0.2455	0.52739
ZNF674	4	-0.020393	-0.16409	0.86149	0.97215	0.86966	0.92759
TTBK1	4	0.11848	0.89599	0.38048	0.80532	0.37026	0.61732
PCDHB6	4	0.12337	1.3462	0.36591	0.79754	0.17824	0.50061
ACAD8	4	0.24147	1.3345	0.1149	0.53237	0.18206	0.50089
GPR50	4	0.1974	0.91011	0.18688	0.63593	0.36276	0.61188
CLNK	4	0.13189	1.5153	0.34111	0.78055	0.1297	0.5
TRMT10C	4	-0.6283	-1.8397	0.11325	0.52805	0.065805	0.47399
GNA13	4	0.28342	1.5144	0.066571	0.41135	0.12992	0.5
RAD50	4	-0.81447	-2.2269	0.051009	0.36089	0.025951	0.31104
NR5A2	4	-0.12767	-1.396	0.79905	0.95958	0.16273	0.5
COG3	4	-1.023	-2.4902	0.019837	0.211	0.012765	0.20926
FER1L6	4	0.02155	0.22091	0.71164	0.94339	0.82516	0.90079
RNF115	4	-0.12149	-0.80412	0.81615	0.96421	0.42133	0.65766
SFRP5	4	-0.13958	-1.4783	0.76698	0.95317	0.13933	0.5
LSR	4	-0.094143	-0.56691	0.89475	0.97849	0.57078	0.74202
EBLN2	4	0.037182	0.3522	0.65447	0.93236	0.72469	0.83777
HNRNPA0	4	-0.011505	-0.097632	0.82922	0.96635	0.92222	0.95789
ADAMTSL2	4	0.077717	0.87803	0.51198	0.87674	0.37993	0.62528
GLOD5	4	0.37069	1.51	0.019191	0.20809	0.13104	0.5
E2F4	4	-0.19307	-1.6739	0.6395	0.92742	0.094156	0.5
NUP88	4	-1.562	-2.6413	0.0019887	0.053476	0.0082592	0.16066
PPIAL4D	4	-0.96927	-2.5876	0.025703	0.24341	0.0096639	0.17671
NBPF14	4	-0.97769	-1.6964	0.02456	0.23796	0.089818	0.5
ABHD14A	4	-0.081427	-1.0127	0.93363	0.98516	0.31121	0.57243
C19orf53	4	-0.38262	-1.344	0.31953	0.76673	0.17896	0.50061
NUP43	4	-0.24208	-1.6	0.53674	0.88584	0.1096	0.5
TAF4	4	-0.068755	-0.37139	0.97435	0.99533	0.71035	0.82862
GTF2IRD1	4	0.19889	1.604	0.1841	0.63197	0.10871	0.5
FMO5	4	0.022687	0.15747	0.70707	0.94248	0.87487	0.93031
CAMK1	4	0.062794	0.83723	0.56239	0.89828	0.40246	0.64283
ALOX12	4	0.16869	1.1157	0.24789	0.70503	0.26456	0.54
WNT6	4	0.042973	0.84212	0.63329	0.92634	0.39972	0.64087
MAGEB4	4	0.29883	1.3236	0.055086	0.37713	0.18563	0.50162
BLOC1S3	4	-0.0576	-0.45366	0.99055	0.9988	0.65007	0.78674
PRADC1	4	-0.79091	-1.7333	0.056329	0.38187	0.08304	0.5
ANKRD20A4	4	-0.77988	-1.6012	0.058616	0.38668	0.10933	0.5
SLC5A9	4	0.05287	0.56374	0.59695	0.91191	0.57293	0.74228
TSPAN15	4	-0.025098	-0.54384	0.8764	0.97498	0.58655	0.74876
HTR1F	4	0.11002	1.2021	0.40797	0.82323	0.22932	0.51751
FAM181A	4	0.13638	1.109	0.32868	0.77313	0.26744	0.54168
PLBD2	4	-0.05693	-0.31096	0.98787	0.9988	0.75583	0.8595
IFITM5	4	-0.083116	-0.66171	0.92836	0.98478	0.50816	0.72296
RBM44	4	-0.047827	-0.27649	0.9566	0.99145	0.78217	0.87584
ZNF579	4	-0.33755	-2.1207	0.37983	0.80529	0.033947	0.35563
GLT6D1	4	0.00022036	0.0024342	0.78577	0.95699	0.99806	0.99948
BLK	4	0.17126	1.1116	0.24147	0.69764	0.2663	0.54081
PCSK6	4	0.21649	1.0686	0.15362	0.59503	0.28524	0.55347
ZCCHC7	4	0.1013	0.7977	0.43447	0.83699	0.42504	0.66069
GPR151	4	-0.17454	-1.2744	0.68137	0.93741	0.20253	0.5049
CCNDBP1	4	0.047381	0.61101	0.61649	0.92022	0.54119	0.73556
ZRANB3	4	0.16761	1.2895	0.25017	0.70793	0.19722	0.50359
GSK3B	4	0.3844	1.1613	0.015561	0.18423	0.24551	0.52739
ZNF775	4	0.062433	0.47368	0.56399	0.89989	0.63573	0.77702
ARHGAP11A	4	-0.12296	-0.9945	0.81242	0.96322	0.31998	0.57927
PTPN18	4	-0.029058	-0.74181	0.89142	0.97849	0.4582	0.68845
MAPK3	4	-0.24698	-1.8399	0.52675	0.88086	0.065777	0.47399
PLCE1	4	0.0097764	0.04354	0.75137	0.94978	0.96527	0.98138
BCL2L13	4	-0.1454	-1.4422	0.75355	0.95034	0.14926	0.5
ATAD2B	4	0.084764	0.58194	0.48812	0.86426	0.5606	0.74014
PMS2	4	0.10144	1.1368	0.43403	0.83661	0.25563	0.53256
PIGB	4	0.28625	1.0998	0.063985	0.40269	0.27142	0.54449
HBQ1	4	-0.20201	-1.275	0.62002	0.92198	0.2023	0.5049
PEX7	4	0.18315	1.0744	0.21662	0.67041	0.28264	0.55158
LIN9	4	-1.3414	-2.1943	0.0043751	0.083491	0.028217	0.32376
KLHL41	4	0.033219	0.34731	0.66958	0.93606	0.72836	0.84018
GPANK1	4	-0.29747	-1.1318	0.44064	0.84087	0.25772	0.5345
MUC5AC	4	-0.016225	-0.13391	0.84762	0.97026	0.89347	0.94145
TNFAIP6	4	-0.10241	-0.40376	0.86954	0.97385	0.68639	0.81263
RFPL4B	4	0.19632	1.4937	0.18912	0.63868	0.13525	0.5
GFRA4	4	-0.062896	-0.61666	0.99364	0.9988	0.53746	0.73509
TMEM223	4	0.010738	0.14381	0.74769	0.94919	0.88565	0.93669
SDHAF3	4	-0.034148	-0.28672	0.90922	0.98096	0.77433	0.87108
GNG11	4	0.27986	1.1348	0.069554	0.41999	0.25647	0.53325
DNAH10	4	-0.11605	-0.91005	0.83086	0.96702	0.3628	0.61188
CHTOP	4	0.36433	1.5285	0.020931	0.21656	0.12638	0.5
CALN1	4	0.032486	0.41496	0.67262	0.93627	0.67817	0.80676
NEIL2	4	0.28449	1.2535	0.065676	0.40784	0.21004	0.50792
PRPF38B	4	-1.7401	-2.964	0.0005966	0.023483	0.0030368	0.087376
PRKAB1	4	0.0039872	0.03712	0.7723	0.95413	0.97039	0.98459
PTGER1	4	-0.15831	-1.7579	0.71915	0.94521	0.078773	0.5
RAB40B	4	0.012387	0.074625	0.74351	0.94873	0.94051	0.96814
GNA11	4	-0.16772	-0.9542	0.69752	0.94167	0.33998	0.5943
FUBP1	4	-0.48666	-2.1511	0.20622	0.65907	0.031471	0.34346
SLCO4A1	4	-0.11073	-0.90406	0.84603	0.97026	0.36596	0.61439
ZNF430	4	0.29634	1.2777	0.056926	0.38307	0.20135	0.50459
EXT1	4	0.048823	0.38966	0.61156	0.91766	0.69679	0.81992
PIGH	4	-0.63329	-2.2772	0.11057	0.52268	0.022775	0.2903
HNRNPC	4	-2.1276	-3.4845	0.00014915	0.0097087	0.00049297	0.029089
GUCA1A	4	0.22394	0.98868	0.1406	0.57644	0.32282	0.58157
TMEM52	4	-0.14284	-0.91772	0.75902	0.95167	0.35877	0.6084
KIAA0922	4	0.16022	1.3205	0.26748	0.72501	0.18667	0.50162
SFSWAP	4	-1.0962	-2.433	0.014169	0.17378	0.014976	0.22907
ZNF417	4	-0.18075	-0.86974	0.66705	0.93595	0.38444	0.6285
KRT18	4	-1.238	-1.9707	0.0070598	0.11102	0.048761	0.42003
IL1RAPL2	4	-0.49661	-1.0645	0.19747	0.65051	0.28708	0.55461
CTNNBIP1	4	-0.19804	-1.4469	0.62892	0.92573	0.14792	0.5
TRIM28	4	-1.6481	-3.7275	0.0012429	0.040064	0.00019341	0.015814
TCF3	4	0.031057	0.22184	0.67759	0.93674	0.82444	0.90036
CTHRC1	4	0.27788	1.1061	0.071294	0.42544	0.26868	0.5426
NAPA	4	-1.8181	-3.4385	0.00034802	0.015766	0.00058491	0.032863
STK24	4	-0.1083	-0.73657	0.85363	0.97121	0.46138	0.69044
SKAP1	4	0.24222	1.376	0.1134	0.52825	0.16882	0.5
NID1	4	-0.075744	-0.88716	0.95257	0.99054	0.37499	0.6206
ZNF157	4	0.36753	1.39	0.019887	0.21108	0.16454	0.5
TFPI	4	0.12997	0.652	0.34707	0.78712	0.5144	0.72675
FBXO41	4	-0.058587	-0.68396	0.99334	0.9988	0.494	0.71407
FAM65C	4	-0.066764	-0.63772	0.98071	0.99687	0.52365	0.73112
LGALSL	4	0.018922	0.11168	0.72064	0.94521	0.91108	0.95232
ADAMTSL1	4	0.19897	0.97984	0.18395	0.63194	0.32717	0.58499
DBX1	4	0.16233	0.79115	0.26245	0.72101	0.42885	0.66389
APAF1	4	0.1792	1.4255	0.22527	0.68179	0.15402	0.5
VSTM2A	4	0.050137	0.75612	0.60724	0.91614	0.44958	0.68194
SIGLEC15	4	-0.019829	-0.25349	0.8596	0.97215	0.79989	0.88567
ANKRD39	4	0.049455	0.26139	0.60948	0.91701	0.79379	0.88245
SEMA4B	4	0.011537	0.070789	0.7456	0.94873	0.94357	0.96959
ATP8A2	4	0.13157	1.2366	0.3421	0.78184	0.21623	0.51109
ANGPTL2	4	-0.044855	-0.56376	0.94646	0.98822	0.57292	0.74228
TXNRD2	4	-0.12752	-1.2559	0.79969	0.95984	0.20917	0.50726
GSPT2	4	0.2302	1.5486	0.13155	0.56178	0.12147	0.5
IL13RA1	4	0.06129	0.63171	0.56747	0.90126	0.52757	0.733
ADAMTS14	4	0.077979	0.52471	0.51124	0.87646	0.59978	0.754
LY6G6D	4	-0.050429	-0.62013	0.96525	0.9935	0.53518	0.73477
MSRB3	4	0.089847	0.65802	0.47186	0.85674	0.51053	0.72476
MUSK	4	-0.10579	-0.94217	0.86064	0.97215	0.34611	0.59846
UBE2H	4	0.085292	0.58036	0.48687	0.86416	0.56167	0.74035
SLC9B1	4	0.51139	1.3023	0.0034304	0.073326	0.19281	0.50274
PDHB	4	0.72422	1.2747	0.0005966	0.023483	0.20241	0.5049
BPY2C	4	0.27223	1.4982	0.076265	0.43691	0.13408	0.5
ERICH4	4	-0.16795	-0.94879	0.69708	0.94167	0.34273	0.59639
EXOSC8	4	-1.1878	-2.8436	0.0087501	0.125	0.0044613	0.10983
CC2D2A	4	0.23785	1.4962	0.11962	0.54019	0.13459	0.5
CDH22	4	0.12201	1.1279	0.36954	0.79903	0.25937	0.53596
FREM3	4	0.32638	1.1452	0.035746	0.28997	0.25213	0.53047
ASPA	4	0.16687	1.4166	0.25176	0.70905	0.15659	0.5
PEF1	4	0.057012	0.71248	0.58149	0.90625	0.47617	0.70156
NBN	4	-0.24686	-1.3422	0.52695	0.88097	0.17953	0.50061
CYP1B1	4	0.20083	0.90546	0.17982	0.62725	0.36522	0.6138
AKAP13	4	0.47362	1.4027	0.0050711	0.091316	0.16069	0.5
OXT	4	0.15603	1.6005	0.27881	0.73586	0.10948	0.5
CSMD1	4	-0.054016	-0.4579	0.97708	0.996	0.64702	0.78479
FAM126A	4	0.32265	1.4075	0.037834	0.30103	0.15928	0.5
RNF103-CHMP3	4	-0.41771	-1.2633	0.27826	0.73586	0.20649	0.50644
IGSF8	4	-0.12902	-1.6498	0.79542	0.95867	0.098976	0.5
HIST1H2BK	4	-0.22037	-0.96341	0.58084	0.90625	0.33534	0.59088
RGL4	4	0.10589	0.70966	0.42055	0.82974	0.47792	0.70286
KNDC1	4	-0.00058042	-0.0043821	0.78865	0.95699	0.9965	0.99884
ACCS	4	0.089296	1.5356	0.47355	0.85768	0.12463	0.5
TMIE	4	-0.082818	-1.0813	0.92955	0.98478	0.27955	0.55025
SP140L	4	-0.22751	-0.77138	0.56637	0.90112	0.44048	0.67468
CD200R1	4	0.047813	0.69877	0.61475	0.91886	0.4847	0.70761
FZR1	4	0.0026719	0.041463	0.77662	0.95535	0.96693	0.98246
PGS1	4	-1.9211	-3.3801	0.0002983	0.015345	0.0007247	0.037308
C16orf58	4	0.028259	0.12536	0.68813	0.93928	0.90024	0.94495
KCNK7	4	-0.15865	-0.99802	0.71821	0.94474	0.31827	0.57808
KLF1	4	-0.32594	-2.078	0.39729	0.81616	0.037713	0.37281
RIMKLA	4	0.0017567	0.014228	0.77976	0.95629	0.98865	0.99468
OR1D2	4	-0.085783	-0.67867	0.92011	0.98274	0.49735	0.71629
MAS1	4	0.29412	1.4343	0.058168	0.38538	0.15148	0.5
ZFPM2	4	0.073034	0.61287	0.52864	0.88226	0.53997	0.73541
VCX2	4	-0.053876	-0.17437	0.97653	0.99579	0.86157	0.92272
LANCL3	4	0.22148	0.67035	0.14433	0.58137	0.50264	0.71968
DDX51	4	-0.24307	-0.41774	0.5347	0.8854	0.67613	0.80546
RPL5	4	-1.457	-2.7314	0.0028836	0.065463	0.0063067	0.13733
KDF1	4	-0.033394	-0.15941	0.90643	0.98083	0.87334	0.92964
LSM4	4	-2.3861	-3.2973	9.9433e-05	0.0097087	0.00097612	0.044622
IFT27	4	0.19792	1.1168	0.18599	0.63514	0.26407	0.53951
USP43	4	0.021403	0.17607	0.71199	0.94339	0.86024	0.92198
MRRF	4	-0.65013	-1.4902	0.10326	0.50547	0.13616	0.5
COL11A1	4	0.27531	1.4469	0.073481	0.43003	0.14794	0.5
DDR2	4	0.020299	0.18193	0.71592	0.94396	0.85563	0.91901
UNC93A	4	0.19927	1.2871	0.1834	0.63157	0.19805	0.50359
GORASP1	4	0.058351	0.42983	0.57731	0.90556	0.66732	0.79914
PDILT	4	0.019794	0.1104	0.71796	0.94474	0.91209	0.95293
OR13C5	4	-0.11759	-1.2344	0.82644	0.96584	0.21704	0.51109
RAB33A	4	-0.064943	-0.53595	0.98683	0.99854	0.59199	0.751
LOC388282	4	0.20057	1.2973	0.18047	0.62806	0.19451	0.503
CXCL3	4	0.087493	1.5413	0.48016	0.86132	0.12324	0.5
CCDC176	4	0.31487	1.2658	0.042458	0.32117	0.20559	0.50644
SLC1A3	4	-0.078819	-0.36553	0.94253	0.98688	0.71472	0.83135
AMER3	4	0.084122	0.90704	0.49006	0.86531	0.36438	0.61307
NUDT1	4	-0.22732	-1.1846	0.56687	0.90126	0.23618	0.5218
PSMB11	4	-0.19247	-1.6895	0.64095	0.92766	0.091115	0.5
OXSM	4	-0.55115	-1.7445	0.15775	0.60061	0.081069	0.5
NAA35	4	-0.85872	-1.8165	0.041861	0.31882	0.069301	0.48461
FAM127C	4	0.064637	0.95909	0.55698	0.89575	0.33751	0.59233
STIM1	4	-0.32858	-1.9087	0.39271	0.81224	0.056305	0.44587
TXNRD1	4	-0.56891	-1.9148	0.14607	0.58317	0.055524	0.44248
ANKFN1	4	0.24141	1.1138	0.11499	0.53258	0.26538	0.54055
RD3	4	0.082611	0.5533	0.49553	0.86866	0.58006	0.74556
SCAP	4	-0.2517	-1.3682	0.51914	0.87898	0.17124	0.5
GPATCH2	4	0.19991	1.2014	0.18201	0.62955	0.22961	0.51756
ICAM3	4	0.23085	1.3799	0.1307	0.56074	0.16761	0.5
CCDC58	4	-0.18243	-0.59975	0.66282	0.93446	0.54867	0.73651
ANKRD42	4	0.12776	0.89256	0.35279	0.78957	0.37209	0.61858
SCARA3	4	-0.12004	-1.2201	0.82022	0.96446	0.22244	0.51364
RNASE9	4	-0.17251	-0.36782	0.68674	0.93891	0.71301	0.83054
ZBTB1	4	-0.413	-1.9431	0.28333	0.73907	0.051998	0.42953
KIAA1324	4	0.093132	0.63383	0.46043	0.85023	0.52619	0.73224
VTI1B	4	-0.0056722	-0.10559	0.80849	0.96248	0.91591	0.95503
BLNK	4	0.17161	0.76649	0.24083	0.69728	0.44338	0.67707
NOTCH2	4	-0.05169	-0.32542	0.96982	0.99394	0.74487	0.85121
DYNC1I1	4	0.04297	0.29171	0.63329	0.92634	0.77051	0.86842
H2BFM	4	0.17025	1.6749	0.24386	0.6998	0.093963	0.5
ASL	4	-0.050001	-0.36507	0.96326	0.99288	0.71506	0.83154
FCF1	4	-1.6741	-3.5302	0.0011435	0.038591	0.00041518	0.026178
ESRP1	4	-0.3192	-2.0219	0.40668	0.82277	0.043182	0.39758
PYGM	4	-0.0084942	-0.21539	0.81883	0.96421	0.82946	0.90378
CANX	4	0.079609	0.72592	0.50626	0.87462	0.46789	0.695
AMMECR1	4	0.22692	1.1846	0.13642	0.57024	0.23618	0.5218
STARD3	4	0.058399	1.6589	0.57711	0.90546	0.097128	0.5
PRB1	4	-0.24266	-1.0376	0.5356	0.88552	0.29946	0.56409
SIRT5	4	-0.28053	-1.6647	0.46823	0.85533	0.095973	0.5
NDUFAF3	4	-1.2642	-2.1248	0.0058666	0.097521	0.033599	0.35439
CYP2C19	4	0.30939	1.4702	0.046634	0.33936	0.14152	0.5
NKX1-1	4	0.051306	1.08	0.60316	0.9149	0.28013	0.55028
ERVV-1	4	-0.38763	-1.6519	0.31366	0.76325	0.098563	0.5
PRSS33	4	-0.19709	-1.486	0.63095	0.92622	0.13728	0.5
PLIN5	4	0.031137	0.38203	0.67729	0.93674	0.70244	0.82376
HMGN3	4	0.019555	0.23683	0.71855	0.94495	0.81279	0.89362
CDPF1	4	0.066187	0.83982	0.5522	0.8941	0.40101	0.64158
DDX4	4	0.053596	0.36261	0.59421	0.91049	0.7169	0.83264
VWC2	4	0.16959	1.4383	0.24595	0.703	0.15035	0.5
SOWAHB	4	-0.14198	-1.4092	0.76071	0.95191	0.15878	0.5
TUBA3D	4	-0.058082	-0.66989	0.99185	0.9988	0.50293	0.71977
CDH3	4	0.15513	0.98799	0.2814	0.73823	0.32316	0.58189
C2orf48	4	-0.073104	-0.69575	0.96077	0.99266	0.48659	0.70901
ZNF627	4	0.0028659	0.044925	0.77613	0.95535	0.96417	0.9806
TRAK1	4	0.18728	0.96375	0.20811	0.66077	0.33517	0.59088
PMEPA1	4	0.18689	1.1674	0.20901	0.66184	0.24306	0.52666
MCM10	4	-0.2726	-1.6029	0.48126	0.86198	0.10897	0.5
